Beginning Stadium,Ending Stadium,Distance,,
Arrowhead Stadium,AT&T Stadium,460,,
Arrowhead Stadium,Nissan Stadium,470,,
Arrowhead Stadium,Soldier Field,415,,
Arrowhead Stadium,Sports Authority Field at Mile High,560,,
AT&T Stadium,Arrowhead Stadium,460,,
AT&T Stadium,Georgia Dome,740,,
AT&T Stadium,NRG Stadium,230,,
AT&T Stadium,Sports Authority Field at Mile High,650,,
AT&T Stadium,University of Phoenix Stadium,870,,
Bank of America Stadium,EverBank Field,342,,
Bank of America Stadium,FedExField,340,,
Bank of America Stadium,Georgia Dome,225,,
Bank of America Stadium,Heinz Field,365,,
CenturyLink Field,Oakland Alameda Coliseum,680,,
CenturyLink Field,Ralph Wilson Stadium,2070,,
CenturyLink Field,U.S. Bank Stadium,1390,,
EverBank Field,Bank of America Stadium,342,,
EverBank Field,Raymond James Stadium,170,,
EverBank Field,Hard Rock Stadium,315,,
FedExField,Bank of America Stadium,340,,
FedExField,M&T Bank Stadium,90,,
FirstEnergy Stadium,Ford Field,90,,
FirstEnergy Stadium,Heinz Field,115,,
FirstEnergy Stadium,Paul Brown Stadium,225,,
Ford Field,FirstEnergy Stadium,90,,
Ford Field,Lucas Oil Stadium,240,,
Ford Field,Ralph Wilson Stadium,210,,
Georgia Dome,AT&T Stadium,740,,
Georgia Dome,Bank of America Stadium,225,,
Georgia Dome,Hard Rock Stadium,600,,
Georgia Dome,Mercedes-Benz Superdome,425,,
Georgia Dome,Paul Brown Stadium,375,,
Gillette Stadium,Hard Rock Stadium,1255,,
Gillette Stadium,Ralph Wilson Stadium,429,,
Gillette Stadium,MetLife Stadium,195,,
Hard Rock Stadium,EverBank Field,315,,
Hard Rock Stadium,Georgia Dome,600,,
Hard Rock Stadium,Gillette Stadium,1255,,
Hard Rock Stadium,NRG Stadium,965,,
Hard Rock Stadium,Raymond James Stadium,210,,
Heinz Field,Bank of America Stadium,365,,
Heinz Field,FirstEnergy Stadium,115,,
Heinz Field,Lincoln Financial Field,315,,
Heinz Field,Paul Brown Stadium,260,,
Heinz Field,Ralph Wilson Stadium,225,,
Lambeau Field,Ralph Wilson Stadium,430,,
Lambeau Field,Soldier Field,80,,
Lambeau Field,U.S. Bank Stadium,300,,
Levi's Stadium,Oakland Alameda Coliseum,25,,
Levi's Stadium,Sports Authority Field at Mile High,930,,
Levi's Stadium,Los Angeles Memorial Coliseum,200,,
Levi's Stadium,University of Phoenix Stadium,650,,
Lincoln Financial Field,Heinz Field,315,,
Lincoln Financial Field,M&T Bank Stadium,80,,
Lincoln Financial Field,MetLife Stadium,50,,
Los Angeles Memorial Coliseum,Levi's Stadium,200,,
Los Angeles Memorial Coliseum,Oakland Alameda Coliseum,250,,
Los Angeles Memorial Coliseum,Stub Hub Stadium,15,,
Los Angeles Memorial Coliseum,U.S. Bank Stadium,1500,,
Lucas Oil Stadium,Ford Field,240,,
Lucas Oil Stadium,Paul Brown Stadium,250,,
Lucas Oil Stadium,Soldier Field,50,,
M&T Bank Stadium,FedExField,90,,
M&T Bank Stadium,Lincoln Financial Field,80,,
Mercedes-Benz Superdome,Georgia Dome,425,,
Mercedes-Benz Superdome,NRG Stadium,320,,
Mercedes-Benz Superdome,Raymond James Stadium,480,,
MetLife Stadium,Gillette Stadium,195,,
MetLife Stadium,Lincoln Financial Field,50,,
NRG Stadium,AT&T Stadium,230,,
NRG Stadium,Hard Rock Stadium,965,,
NRG Stadium,Mercedes-Benz Superdome,320,,
NRG Stadium,Nissan Stadium,670,,
NRG Stadium,University of Phoenix Stadium,1115,,
Nissan Stadium,Arrowhead Stadium,470,,
Nissan Stadium,NRG Stadium,670,,
Nissan Stadium,Paul Brown Stadium,240,,
Nissan Stadium,U.S. Bank Stadium,700,,
Oakland Alameda Coliseum,CenturyLink Field,680,,
Oakland Alameda Coliseum,Levi's Stadium,25,,
Oakland Alameda Coliseum,Los Angeles Memorial Coliseum,250,,
Paul Brown Stadium,FirstEnergy Stadium,225,,
Paul Brown Stadium,Georgia Dome,375,,
Paul Brown Stadium,Heinz Field,260,,
Paul Brown Stadium,Lucas Oil Stadium,250,,
Paul Brown Stadium,Nissan Stadium,240,,
Ralph Wilson Stadium,Ford Field,210,,
Ralph Wilson Stadium,Gillette Stadium,429,,
Ralph Wilson Stadium,Heinz Field,225,,
Ralph Wilson Stadium,Lambeau Field,430,,
Ralph Wilson Stadium,CenturyLink Field,2070,,
Raymond James Stadium,EverBank Field,170,,
Raymond James Stadium,Hard Rock Stadium,210,,
Raymond James Stadium,Mercedes-Benz Superdome,480,,
Soldier Field,Arrowhead Stadium,415,,
Soldier Field,Lambeau Field,80,,
Soldier Field,Lucas Oil Stadium,50,,
Sports Authority Field at Mile High,AT&T Stadium,650,,
Sports Authority Field at Mile High,Arrowhead Stadium,560,,
Sports Authority Field at Mile High,Levi's Stadium,930,,
Sports Authority Field at Mile High,Stub Hub Stadium,1015,,
Sports Authority Field at Mile High,University of Phoenix Stadium,580,,
Stub Hub Stadium,Los Angeles Memorial Coliseum,15,,
Stub Hub Stadium,Sports Authority Field at Mile High,1015,,
Stub Hub Stadium,University of Phoenix Stadium,372,,
U.S. Bank Stadium,CenturyLink Field,1390,,
U.S. Bank Stadium,Lambeau Field,300,,
U.S. Bank Stadium,Nissan Stadium,700,,
U.S. Bank Stadium,Los Angeles Memorial Coliseum,1500,,
University of Phoenix Stadium,AT&T Stadium,870,,
University of Phoenix Stadium,Levi's Stadium,650,,
University of Phoenix Stadium,NRG Stadium,1115,,
University of Phoenix Stadium,Sports Authority Field at Mile High,580,,
University of Phoenix Stadium,Stub Hub Stadium,372,,